well,row,col,172_40,172_20,172_10,172_5,354_40,354_20,354_5,354_10
A01,A,1,104514356,49801757.85,23594986.6,10426863.52,380265660.8,181963932.4,38502772.53,87784548.4
A02,A,2,177486812,86912640.56,40520884.3,18732703.46,295122551.1,148271282.3,29428679.72,68665439.6
A03,A,3,177897587,86600141.84,40761168.5,17158444.71,283480238.7,136376471.2,28819085.52,63903123.4
A04,A,4,167652938,80352756.41,37854104.5,17365621.3,193974061.2,95610385.73,19070801.16,45055807.3
A05,A,5,173467605,84023096.52,39805986.2,18189807.28,250372435.3,119397930.7,25789041.85,54694669.7
A06,A,6,179757305,84928522.7,39603156.5,18025595.65,178658387.8,85662818.77,18934076.06,40027071
A07,A,7,170404605,82851594.16,39607513,16882927,143312096,72188691.85,15271821.52,34551693
A08,A,8,35449669.3,17369570.28,8151502.42,3672297.1,173618851.3,84757862.71,18605975.32,42907856.7
A09,A,9,167861374,82908083.79,38575655.1,17059351.37,219382193.1,108367433,22838716.7,50911297.8
A10,A,10,182591270,88752816.51,40822674.9,18443714.84,237713933.6,112538946.5,23575263.15,50722934
A11,A,11,27108941.9,13282232.77,6284869.7,2845848.679,182030914,88891928.36,19243182.17,41888965.5
A12,A,12,30280652.7,15026102.77,7098101.31,3251368.652,43065882.31,20946773.69,4371935.232,9912735.8
B01,B,1,71035890.7,34273720.13,16606513.3,7408820.532,483038034.9,234767409.7,50058186.83,108460556
B02,B,2,33240151.4,16401127.3,7798903.86,3562247.701,370148457.4,181621102.8,38393259.5,87460249.5
B03,B,3,130436252,63840538.82,30555344.4,13779049.06,370028288,183841694.5,37406964.05,88577908.2
B04,B,4,136544756,66734982.83,31444836.7,14597662.35,157599139.9,77905720.66,17292884.61,37829636.2
B05,B,5,33439274.3,16270428.08,7619591.01,3464155.404,204417727.2,103489592.9,23739269.66,50839941
B06,B,6,126492189,61697232.45,29123356.8,12989560.19,192299580.6,95885205.73,20829032.19,49401827.5
B07,B,7,110624828,53707613.5,24778474.3,10967426.71,186716929.3,90213016.89,19840192.16,42499654.4
B08,B,8,119086055,56495744.51,26223849.3,11681929.23,177638585.6,87756007.59,17785163.75,41585746.7
B09,B,9,133511354,66652951.67,31435373.3,14302167.06,230293574.7,117001361.5,24694120.68,55695877
B10,B,10,110819375,54497247.47,25632652.2,11110924.64,182811988.8,93207755.35,18278432.82,42036481.2
B11,B,11,70787249.7,34828932.58,16422384,7438309.655,136819021.4,66712366.39,14146494.03,30676249.2
B12,B,12,34938741.8,17074738.54,8195715.32,3827784.541,37365227.03,18232372.83,3840546.599,8679881.04
C01,C,1,111652397,55963023.94,26194724.2,11663043.04,459026615.3,229064654.4,49847276.22,108105172
C02,C,2,41343979.9,19774198.91,9134551.6,4076422.085,459860618.9,224482968.5,48176820.07,104674940
C03,C,3,133127009,65629497.66,30958410.7,13864403.69,366149503.9,181035612.3,38907387.47,87045183.5
C04,C,4,122691630,60020845.77,28362741.8,12779028.06,295089827.1,142770918.7,28759714.11,66474291.2
C05,C,5,29602146.1,14450720.42,6815135.91,3086529.875,225796621,111145864.1,22608954.74,51007556.8
C06,C,6,133941802,63927970.83,30081619.4,13446841.45,213220881.2,101820223,21760143.19,48579868.5
C07,C,7,112119544,54764791.47,26209445.8,11451060.43,255765799.6,122378489.8,25323207.88,57151947.3
C08,C,8,91063420.1,45280817.62,21943329.3,9615911.332,227848784.6,113520310,23801657.13,52500927.3
C09,C,9,89883330.9,43859195.61,20268220.7,9235897.127,237036437.1,117443490.8,26810363.64,57300913.7
C10,C,10,88560256.2,42910541.77,19999982.8,8720754.219,148587348.8,68815945.95,14393109.88,32275902.1
C11,C,11,128151163,62905082.34,29507769.4,12554516.54,131522788.1,64706682.06,14186963.82,30982493
C12,C,12,39541827.9,19465221.33,9394143.95,4228273.933,41190871.43,20149740.88,4240378.443,9495480.82
D01,D,1,108109162,52859472.85,24405850.9,10880200,491307381.4,242835599.7,54151929.4,118498102
D02,D,2,41154869.3,19324443.75,8971690.1,3989843.014,446129303.4,216987705,45821780.12,103133741
D03,D,3,123339653,60657889.77,28702287.8,12790680.06,401976656.8,199944931.7,41726417.98,94419949.5
D04,D,4,33174549.2,15970161.15,7564621.96,3496107.649,349939986.8,169852199.4,37438695.11,81076157.8
