Cat.No,Compound name,Target Class,Primary Target*,Primary Action,Brief Description,Batch,Product Data Sheet,Plate Number,Plate Location
0523,4F 4PP oxalate,7-TM Receptors,5-HT2A Receptors,Antagonist,Selective 5-HT2A antagonist,3,Datasheet_0523,1,B05
0671,AH 6809,7-TM Receptors,Prostanoid Receptors,Antagonist,EP1 and EP2 receptor antagonist,4,Datasheet_0671,1,C06
0703,Anpirtoline hydrochloride,7-TM Receptors,5-HT1B Receptors,Agonist,Highly potent 5-HT1B agonist; also 5-HT3 antagonist,6,Datasheet_0703,1,C09
0706,7-Hydroxy-DPAT hydrobromide,7-TM Receptors,D3 Receptors,Agonist,Dopamine agonist (D3 ≥ D2 < > D4),3,Datasheet_0706,1,C10
0764,SNC 80,7-TM Receptors,Delta Opioid Receptors,Agonist,Highly selective non-peptide δ agonist,21,Datasheet_0764,1,D05
0778,"ICI 199,441 hydrochloride",7-TM Receptors,Kappa Opioid Receptors,Agonist,Potent κ agonist,2,Datasheet_0778,1,D07
0894,(RS)-(+/-)-Sulpiride,7-TM Receptors,Non-selective Dopamine,Antagonist,Standard selective D2-like antagonist,3,Datasheet_0894,1,D10
0895,(S)-(-)-Sulpiride,7-TM Receptors,Non-selective Dopamine,Antagonist,Standard selective D2-like antagonist,5,Datasheet_0895,1,D11
0909,Tropicamide,7-TM Receptors,M4 Receptors,Antagonist,Selective M4 antagonist,3,Datasheet_0909,1,E04
0921,SB 205607 dihydrobromide,7-TM Receptors,Delta Opioid Receptors,Agonist,"Selective, high affinity non-peptide δ1 agonist",5,Datasheet_0921,1,E06
0937,Pimozide,7-TM Receptors,Non-selective Dopamine,Antagonist,D2-like antagonist; also high affinity 5-HT7 antagonist,9,Datasheet_0937,1,E09
0947,Zaprinast,7-TM Receptors,GPR35,Agonist,GPR35 agonist,10,Datasheet_0947,1,E11
0950,Xamoterol hemifumarate,7-TM Receptors,Adrenergic Beta-1 Receptors,Agonist,Selective β1 partial agonist,4,Datasheet_0950,1,F02
0991,RS 39604 hydrochloride,7-TM Receptors,5-HT4 Receptors,Antagonist,5-HT4 antagonist,3,Datasheet_0991,1,F05
0993,Cyanopindolol hemifumarate,7-TM Receptors,5-HT1A Receptors,Antagonist,5-HT1A and 5-HT1B antagonist; also β-adrenergic antagonist,4,Datasheet_0993,1,F06
0995,Spiperone hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist,5-HT2A antagonist; also D2-like antagonist,10,Datasheet_0995,1,F07
1003,"L-741,626",7-TM Receptors,D2 Receptors,Antagonist,High affinity D2 antagonist,5,Datasheet_1003,1,F10
1027,PHCCC,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Potent group I mGlu antagonist,7,Datasheet_1027,1,F11
1028,CPCCOEt,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Selective non-competitive mGlu1 antagonist,12,Datasheet_1028,1,G02
1034,4-P-PDOT,7-TM Receptors,Melatonin (MT) Receptors,Antagonist,MT2 antagonist,6,Datasheet_1034,1,G03
1036,ZM 241385,7-TM Receptors,Adenosine A2A Receptors,Antagonist,Potent and highly selective A2A antagonist,14,Datasheet_1036,1,G04
1050,RS 102221 hydrochloride,7-TM Receptors,5-HT2C Receptors,Antagonist,Selective 5-HT2C antagonist,14,Datasheet_1050,1,G07
1051,Zinterol hydrochloride,7-TM Receptors,Adrenergic Beta-2 Receptors,Agonist,Selective β2 agonist,4,Datasheet_1051,1,G08
1061,(-)-Quinpirole hydrochloride,7-TM Receptors,Non-selective Dopamine,Agonist,Selective D2-like agonist,17,Datasheet_1061,1,G09
1063,CGS 21680 hydrochloride,7-TM Receptors,Adenosine A2A Receptors,Agonist,A2A agonist,16,Datasheet_1063,1,G10
1080,(R)-(+)-8-Hydroxy-DPAT hydrobromide,7-TM Receptors,5-HT1A Receptors,Agonist,Selective 5-HT1A agonist; enantiomer of 8-Hydroxy-DPAT hydrobromide (Cat. No. 0529),8,Datasheet_1080,1,G11
1088,CGP 54626 hydrochloride,7-TM Receptors,GABAB Receptors,Antagonist,Potent and selective GABAB antagonist,2,Datasheet_1088,1,H03
1102,Procaterol hydrochloride,7-TM Receptors,Adrenergic Beta-2 Receptors,Agonist,Potent β2 agonist,3,Datasheet_1102,1,H07
1206,SC 19220,7-TM Receptors,Prostanoid Receptors,Antagonist,Selective EP1 receptor antagonist,3,Datasheet_1206,2,A04
1212,MPEP hydrochloride,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Potent mGlu5 antagonist; also positive allosteric modulator of mGlu4 receptors,10,Datasheet_1212,2,A05
1217,MRS 1220,7-TM Receptors,Adenosine A3 Receptors,Antagonist,Highly potent and selective hA3 antagonist,4,Datasheet_1217,2,A07
1248,CGP 55845 hydrochloride,7-TM Receptors,GABAB Receptors,Antagonist,Potent and selective GABAB antagonist,9,Datasheet_1248,2,A11
1253,(S)-WAY 100135 dihydrochloride,7-TM Receptors,5-HT1A Receptors,Antagonist,Potent and selective 5-HT1A antagonist,6,Datasheet_1253,2,B02
1317,CP 94253 hydrochloride,7-TM Receptors,5-HT1B Receptors,Agonist,Potent and selective 5-HT1B agonist,4,Datasheet_1317,2,B08
1324,RX 821002 hydrochloride,7-TM Receptors,Adrenergic Alpha-2 Receptors,Antagonist,"Potent, selective α2D antagonist",4,Datasheet_1324,2,B09
1372,SB 204741,7-TM Receptors,5-HT2B Receptors,Antagonist,"Potent, selective 5-HT2B antagonist",3,Datasheet_1372,2,C04
1393,SB 222200,7-TM Receptors,NK3 Receptor,Antagonist,"Potent, selective non-peptide NK3 antagonist. Brain penetrant",2,Datasheet_1393,2,C05
1408,YM 022,7-TM Receptors,CCK2 Receptor,Antagonist,"Highly potent, selective non-peptide CCK2 antagonist",1,Datasheet_1408,2,C09
1441,BMS 182874 hydrochloride,7-TM Receptors,Endothelin ETA Receptors,Antagonist,"Highly selective, orally active non-peptide ETA antagonist",1,Datasheet_1441,2,D08
1448,Formoterol hemifumarate,7-TM Receptors,Adrenergic Beta-2 Receptors,Agonist,Potent and selective β2 agonist,2,Datasheet_1448,2,D09
1453,Clemastine fumarate,7-TM Receptors,Histamine H1 Receptors,Antagonist,H1 antagonist,3,Datasheet_1453,2,D10
1483,GR 89696 fumarate,7-TM Receptors,Kappa Opioid Receptors,Agonist,Subtype-selective κ agonist,2,Datasheet_1483,2,E05
1511,SR 59230A hydrochloride,7-TM Receptors,Adrenergic Beta-3 Receptors,Antagonist,Potent and selective β3 antagonist,5,Datasheet_1511,2,E07
1513,CGP 7930,7-TM Receptors,GABAB Receptors,Modulator,Positive allosteric modulator of GABAB receptors,3,Datasheet_1513,2,E08
1579,HEMADO,7-TM Receptors,Adenosine A3 Receptors,Agonist,High affinity selective A3 agonist,1,Datasheet_1579,2,F03
1586,SKF 83566 hydrobromide,7-TM Receptors,D1 and D5 Receptors,Antagonist,Potent and selective D1-like antagonist; also inhibits adenylyl cyclase 2,10,Datasheet_1586,2,F06
1591,NBI 27914 hydrochloride,7-TM Receptors,CRF1 Receptors,Antagonist,Selective non-peptide CRF1 antagonist,2,Datasheet_1591,2,F08
1592,SCH 79797 dihydrochloride,7-TM Receptors,Protease-Activated Receptors,Antagonist,"Potent, selective non-peptide PAR1 antagonist",5,Datasheet_1592,2,F09
1612,SB 269970 hydrochloride,7-TM Receptors,5-HT7 Receptors,Antagonist,Potent and selective 5-HT7 antagonist; brain penetrant,9,Datasheet_1612,2,F11
1635,RP 67580,7-TM Receptors,NK1 Receptor,Antagonist,Potent and selective NK1 antagonist,3,Datasheet_1635,2,G04
1661,SB 206553 hydrochloride,7-TM Receptors,5-HT2C Receptors,Antagonist,Potent and selective 5-HT2B and 5-HT2C antagonist; orally active,4,Datasheet_1661,2,G08
1671,PD 102807,7-TM Receptors,M4 Receptors,Antagonist,Selective M4 antagonist,5,Datasheet_1671,2,G09
1674,LE 300,7-TM Receptors,D1 and D5 Receptors,Antagonist,Potent and selective D1 antagonist,4,Datasheet_1674,2,G10
1691,NECA,7-TM Receptors,Non-selective Adenosine,Agonist,High affinity adenosine agonist,4,Datasheet_1691,2,H02
1695,Cisapride,7-TM Receptors,5-HT4 Receptors,Agonist,5-HT4 agonist; stimulates intestinal ACh release,1,Datasheet_1695,2,H05
1700,BIIE 0246,7-TM Receptors,NPY Receptors,Antagonist,"Potent, selective non-peptide NPY Y2 receptor antagonist",5,Datasheet_1700,2,H06
1705,2-Chloro-N6-cyclopentyladenosine,7-TM Receptors,Adenosine A1 Receptors,Agonist,"Potent, selective A1 agonist",7,Datasheet_1705,2,H07
1742,R-96544 hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist,"Potent, selective 5-HT2A antagonist",3,Datasheet_1742,2,H09
