Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,386397.0637534021,2717,142.21459836341631
A0002,751920.3670240412,538,1397.6215000446864
A0003,542738.3456390632,330,1644.6616534517066
A0004,607149.3524748409,176,3449.712229970687
A0005,935504.6150243862,214,4371.516892637319
A0006,454191.9246383009,184,2468.434373034244
B0001,604580.0228401833,254,2380.2363103944226
B0002,369145.54470439913,1076,343.07206756914417
B0003,636790.5438863771,1203,529.3354479521007
B0004,735875.6177884009,360,2044.0989383011135
B0005,641895.0693717396,427,1503.267141385807
B0006,767023.2450914341,267,2872.746236297506
C0001,306248.7521499059,1411,217.04376481212324
C0002,360422.2229158614,567,635.6652961479037
C0003,260115.57594918474,1375,189.1749643266798
C0004,366405.0838021841,124,2954.8797080821296
C0005,425109.5379116173,224,1897.8104371054344
C0006,316353.85252201196,1927,164.16909835081057
D0001,408880.6197088804,1591,256.9959897604528
D0002,454561.2715562483,798,569.6256535792585
D0003,293541.6170943369,205,1431.9103272894483
D0004,482832.57379631436,752,642.0645928142478
D0005,607688.9790807752,1946,312.2759399181784
D0006,435072.61125063204,1801,241.57279913971794
