Well,Total.Motility,Worm.Area,Normalized.Motility
A01,2027222.5533528598,1373,1476.491298873168
A02,3287155.0632252186,1119,2937.582719593582
A04,1684735.5571952788,1654,1018.5825617867465
A05,1337794.133752734,227,5893.366227985612
A06,1879940.416399861,2163,869.1356525195844
A?,1127804.4651403753,888,1270.0500733562785
B01,1868143.364278271,1020,1831.513102233599
B02,1426805.960350695,1586,899.6254478882062
B03,1431165.3651710267,1371,1043.8842926119814
B04,1770900.3796299142,2973,595.6610762293691
B05,1603417.6145990698,2431,659.5712112706992
B06,6461332.006830263,743,8696.274571776936
C01,1136776.0324354884,2141,530.9556433608072
C02,2439253.116940486,1578,1545.7877800636793
C03,1071798.7733373884,1702,629.7290090113916
C04,3957426.1004767762,1296,3053.5695219728213
C05,1299214.606750447,2294,566.3533595250423
C06,6113751.78064682,1072,5703.1266610511375
D01,11241681.410539895,1923,5845.908169807538
D02,1679402.1863162317,2489,674.7296851411136
D03,2454043.9361807345,1419,1729.4178549547107
D04,1788346.1586816676,1447,1235.8992112520164
D05,3415130.1450328426,1126,3032.9752620185104
D06,5668415.874584913,1299,4363.676577817485
