catalog_id,smiles,product_name,pubchem_id,chemical_name,molecular_formula,cas_numeber,molecular_weight_batch,target_class,primary_target,primary_action,brief_description,batch,rdkit_smiles,chemical_cluster_0.75,medoid_0.75
189,[O-][N+](=O)C1=C(C=C2NC(=O)C(=O)NC2=C1)[N+]([O-])=O,DNQX,3899541,"6,7-Dinitroquinoxaline-2,3-dione",C8H4N4O6,[2379-57-9],252.14,Ion Channels,AMPA Receptors,Antagonist,Selective non-NMDA iGluR antagonist,14,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,87,1
190,[O-][N+](=O)C1=C(C=C2NC(=O)C(=O)NC2=C1)C#N,CNQX,3721046,"6-Cyano-7-nitroquinoxaline-2,3-dione",C9H4N4O4,[115066-14-3],232.16,Ion Channels,AMPA Receptors,Antagonist,Potent and selective non-NMDA iGluR antagonist,34,N#Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],87,0
223,OC(=O)C1=CC(O)=C2C=CC=CC2=N1,Kynurenic acid,3845,4-Hydroxyquinoline-2-carboxylic acid,C10H7NO3,[492-27-3],207.19,Ion Channels,Non-selective Ionotropic Glutamate,Antagonist,Broad spectrum glutamatergic antagonist,58,O=C(O)c1cc(O)c2ccccc2n1,156,1
237,OC(=O)C1=CC(O)=C2C=CC(Cl)=CC2=N1,7-Chlorokynurenic acid,1884,7-Chloro-4-hydroxyquinoline-2-carboxylic acid,C10H6ClNO3,[18000-24-3],229.6251,Transporters,Glutamate Transporters,Inhibitor,Potent competitive inhibitor of L-glutamate uptake,6,O=C(O)c1cc(O)c2ccc(Cl)cc2n1,156,0
286,OC(=O)C1=NC2=CC(Cl)=CC(Cl)=C2C(O)=C1,"5,7-Dichlorokynurenic acid",1779,"5,7-Dichloro-4-hydroxyquinoline-2-carboxylic acid",C10H5Cl2NO3,[131123-76-7],276.08,Ion Channels,NMDA Receptors,Antagonist,Potent NMDA antagonist; acts at glycine site,6,O=C(O)c1cc(O)c2c(Cl)cc(Cl)cc2n1,156,0
357,CC(=O)NCCC1=CNC2=CC=CC=C12,N-Acetyltryptamine,70547,,C12H14N2O,[1016-47-3],202.26,Enzymes,Other Transferases,Substrate,Substrate for serotonin N-acetyl transferase,2,CC(=O)NCCc1c[nH]c2ccccc12,795,1
369,Cl.NCCCCCCNS(=O)(=O)C1=CC=CC2=C(Cl)C=CC=C12,W-7 hydrochloride,124887,N-(6-Aminohexyl)-5-chloro-1-naphthalenesulfonamide hydrochloride,C16H21ClN2O2S.HCl,[61714-27-0],377.33,Cell biology,Calcium Binding Protein,Antagonist,Calmodulin antagonist. Inhibits myosin light chain kinase,8,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,851,0
373,NS(=O)(=O)C1=CC=CC2=C3NC(=O)C(=O)NC3=CC(=C12)[N+]([O-])=O,NBQX,3272524,"2,3-Dioxo-6-nitro-1,2,3,4-tetrahydrobenzo[f]quinoxaline-7-sulfonamide",C12H8N4O6S,[118876-58-7],340.78,Ion Channels,AMPA Receptors,Antagonist,Potent AMPA antagonist; more selective than CNQX (Cat. No. 0190),16,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1[nH]c(=O)c(=O)[nH]c12,87,0
415,CCCCOC1=CC(CC2CNC(=O)N2)=CC=C1OC,Ro 20-1724,5087,4-(3-Butoxy-4-methoxyphenyl)methyl-2-imidazolidone,C15H22N2O3,[29925-17-5],278.35,Enzymes,Phosphodiesterases,Inhibitor,PDE4 inhibitor,4,CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,364,1
421,Cl.Cl.FC1=CC=C(C=C1)C(OCCN1CCN(CCCC2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,GBR 12909 dihydrochloride,104920,1-[2-[Bis-(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazine dihydrochloride,C28H32F2N2O.2HCl,[67469-78-7],523.49,Transporters,Dopamine Transporters,Inhibitor,Selective DA uptake inhibitor; also ? ligand,5,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,289,1
431,Cl.ClC1=C2C=CC=C(C2=CC=C1)S(=O)(=O)N1CCCNCC1,ML 9 hydrochloride,108047,1-(5-Chloronaphthalenesulfonyl)homopiperazine hydrochloride,C15H17ClN2O2S.HCl,[105637-50-1],370.3,Enzymes,Myosin Light Chain Kinase,Inhibitor,Myosin light chain kinase inhibitor,5,O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1,850,0
456,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O,Chlormezanone,2717,"2-(4-Chlorophenyl)tetrahydro-3-methyl-4H-1,3-thiazin-4-one-1,1-dioxide",C11H12ClNO3S,[80-77-3],273.73,Ion Channels,GABAA Receptors,Benzodiazepine,Positive allosteric modulator of benzodiazepine site,4,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,585,1
478,NP(N)(=O)NC(=O)C1=CC=C(F)C=C1,Flurofamide,51173,N-(Diaminophosphinyl)-4-fluorobenzamide,C7H9FN3O2P,[70788-28-2],217.14,Enzymes,Other Hydrolases,Inhibitor,Urease inhibitor,1,NP(N)(=O)NC(=O)c1ccc(F)cc1,507,1
523,OC(=O)C(O)=O.FC1=CC=C(C=C1)C(=O)C1CCN(CCCCC2=CC=CC=C2)CC1,4F 4PP oxalate,24745966,4-(4-Fluorobenzoyl)-1-(4-phenylbutyl)piperidine oxalate,C22H26FNO.C2H2O4,[144734-36-1],429.49,7-TM Receptors,5-HT2A Receptors,Antagonist,Selective 5-HT2A antagonist,3,O=C(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,282,1
541,Cl.O=S(=O)(N1CCCNCC1)C1=C2C=CN=CC2=CC=C1,Fasudil hydrochloride,163751,,C14H17N3O2S.HCl,[105628-07-7],327.83,Enzymes,Rho-kinases,Inhibitor,Inhibitor of cyclic nucleotide dependent- and Rho-kinases,3,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,850,1
542,Cl.Cl.CC1CNCCN1S(=O)(=O)C1=CC=CC2=CN=CC=C12,H-7 dihydrochloride,73332,(�)-1-(5-Isoquinolinesulphonyl)-2-methylpiperazine dihydrochloride,C14H17N3O2S.2HCl,[108930-17-2],373.3,Enzymes,Broad Spectrum Protein Kinase Inhibitors,Inhibitor,Protein kinase inhibitor,6,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12,850,0
554,CNC(=O)C1=CC2=C(NC3=C2C=CC=C3)C=N1,FG 7142,4375,N-Methyl-?-carboline-3-carboxamide,C13H11N3O,[78538-74-6],225.25,Ion Channels,GABAA Receptors,Benzodiazepine,Benzodiazepine inverse agonist,12,CNC(=O)c1cc2c(cn1)[nH]c1ccccc12,792,1
589,Cl.O=C(OCCN1CCOCC1)C1(CCCCC1)C1=CC=CC=C1,PRE-084 hydrochloride,11314197,2-(4-Morpholinethyl) 1-phenylcyclohexanecarboxylate hydrochloride,C19H27NO3.HCl,[138847-85-5],353.89,Other Pharmacology,Sigma1 Receptors,Agonist,Highly selective ?1 agonist,2,O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1,320,1
593,OC(=O)C1=CC(=CC=C1NCCCC1=CC=CC=C1)[N+]([O-])=O,NPPB,4549,5-Nitro-2-(3-phenylpropylamino)benzoic acid,C16H16N2O4,[107254-86-4],300.31,Ion Channels,Ca2+-Activated Chloride Channels,Blocker,Inhibits calcium-sensitive chloride currents,4,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,210,0
607,C#CCCCCCCCCCCCCCCCC(O)=O,17-ODYA,1449,17-Octadecynoic acid,C18H32O2,[34450-18-5],280.45,Enzymes,Hydroxylases,Inhibitor,LTB ?-hydroxylase inhibitor,4,C#CCCCCCCCCCCCCCCCC(=O)O,26,1
640,CN1C2CCC1CC(C2)OC(=O)C1=CC(Cl)=CC(Cl)=C1,MDL 72222,1683,"Tropanyl 3,5-dichlorobenzoate",C15H17Cl2NO2,[40796-97-2],314.21,Ion Channels,5-HT3 Receptors,Antagonist,5-HT3 antagonist,3,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,258,1
653,O[C@@H]1CCCC[C@H]1N(CC3)CCC3C2=CC=CC=C2.Cl,(+/-)-Vesamicol hydrochloride,659839,(�)-trans-2-(4-Phenylpiperidinyl)cyclohexanol hydrochloride,C17H25NO.HCl,[120447-62-3],295.85,Transporters,Acetylcholine Transporters,Inhibitor,Inhibits ACh transport,5,O[C@@H]1CCCC[C@H]1N1CCC(c2ccccc2)CC1,136,1
665,N=C(NCCC[C@H](N)C(OC)=O)N[N+]([O-])=O.Cl,L-NAME hydrochloride,135193,NG-Nitro-L-arginine methyl ester hydrochloride,C7H15N5O4.HCl,[51298-62-5],269.69,Enzymes,Non-selective NOS,Inhibitor,Non-selective NOS inhibitor,7,COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],28,1
670,CCC(C)N(C)C(=O)C1=NC(C2=CC=CC=C2Cl)=C2C=CC=CC2=C1,PK 11195,1345,1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide,C21H21ClN2O,[85532-75-8],352.86,Other Pharmacology,Translocator Protein,Ligand,Antagonist at peripheral benzodiazepine receptors,11,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,629,1
671,CC(C)OC1=CC=C2C(OC3=C(C=C(C=C3)C(O)=O)C2=O)=C1,AH 6809,119461,6-Isopropoxy-9-xanthone-2-carboxylic acid,C17H14O5,[33458-93-4],298.3,7-TM Receptors,Prostanoid Receptors,Antagonist,EP1 and EP2 receptor antagonist,4,CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1,804,1
685,[H][C@]2(C3=CC=C(OC)C=C3)[C@@]([H])(OC(C)=O)C(N(CCN(C)C)C1=CC=CC=C1S2)=O.Cl,Diltiazem hydrochloride,62920,"(2S-cis)-3-(Acetyloxy)-5-[2-(dimethylamino)ethyl]-2,3-dihydro-2-(4-methoxyphenyl)-1,5-benzothiazepin-4(5H)-one hydrochloride",C22H26N2O4S.HCl,[33286-22-5],450.98,Ion Channels,Cav1.x Channels,Blocker,CaV1.x blocker,4,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,413,1
691,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO,Dipyridamole,3108,"2,6-bis(Diethanolamino)-4,8-dipiperidinopyrimido[5,4-d]pyrimidine",C24H40N8O4,[58-32-2],504.63,Transporters,Nucleoside Transporters,Inhibitor,Adenosine transport inhibitor,4,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,40,1
703,Cl.ClC1=NC(SC2CCNCC2)=CC=C1,Anpirtoline hydrochloride,6917943,6-Chloro-2-[piperidinyl-4-thio]pyridine hydrochloride,C10H13ClN2S.HCl,[99201-87-3],265.2,7-TM Receptors,5-HT1B Receptors,Agonist,Highly potent 5-HT1B agonist; also 5-HT3 antagonist,6,Clc1cccc(SC2CCNCC2)n1,854,1
706,Br.CCCN(CCC)C1CCC2=CC=C(O)C=C2C1,7-Hydroxy-DPAT hydrobromide,11957566,(�)-7-Hydroxy-2-dipropylaminotetralin hydrobromide,C16H25NO.HBr,[76135-30-3],328.28,7-TM Receptors,D3 Receptors,Agonist,Dopamine agonist (D3 ? D2 < > D4),3,CCCN(CCC)C1CCc2ccc(O)cc2C1,120,0
713,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2,Cyclothiazide,2910,"6-Chloro-3,4-dihydro-3-(5-norbornen-2-yl)-2H-1,2,4-benzothiazidiazine-7-sulfonamide-1,1-dioxide",C14H16ClN3O4S2,[2259-96-3],389.87,Ion Channels,AMPA Receptors,Modulator,Positive allosteric modulator of AMPA receptors; inhibits AMPA desensitization,8,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,895,1
741,CN(C)CCCN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CNC2=CC=CC=C12,GF 109203X,2396,2-[1-(3-Dimethylaminopropyl)indol-3-yl]-3-(indol-3-yl) maleimide,C25H24N4O2,[133052-90-1],416.99,Enzymes,Protein Kinase C,Inhibitor,Protein kinase C inhibitor,6,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,785,1
742,ClC1=C2C(N[C@@H]([C@](O)=O)C[C@@H]2NC(NC3=CC=CC=C3)=O)=CC(Cl)=C1,"L-689,560",6604749,"trans-2-Carboxy-5,7-dichloro-4-phenylaminocarbonylamino-1,2,3,4-tetrahydroquinoline",C17H15Cl2N3O3,[139051-78-8],380.23,Ion Channels,NMDA Receptors,Antagonist,Highly potent NMDA antagonist,5,O=C(Nc1ccccc1)N[C@H]1C[C@H](C(=O)O)Nc2cc(Cl)cc(Cl)c21,610,1
760,CC1(C)CCC(C)(C)C2=CC(=CC=C12)C(=O)NC1=CC=C(C=C1)C(O)=O,AM 580,2126,"4-[(5,6,7,8-Tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carboxamido]benzoic acid",C22H25NO3,[102121-60-8],364.95,Nuclear Receptors,Retinoic Acid Receptors,Agonist,Retinoic acid analog; RAR? agonist,3,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,456,1
764,[H][C@@](N1C[C@@H](C)N(CC=C)C[C@@H]1C)(C1=CC=C(C=C1)C(=O)N(CC)CC)C1=CC=CC(OC)=C1,SNC 80,123924,"(+)-4-[(?R)-?-((2S,5R)-4-Allyl-2,5-dimethyl-1-piperazinyl)-3-methoxybenzyl]-N,N-diethylbenzamide",C28H39N3O2,[156727-74-1],449.64,7-TM Receptors,Delta Opioid Receptors,Agonist,Highly selective non-peptide ? agonist,21,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,224,1
767,Cl.CNCCCCOC1=CC=CC=C1CC1=CC=CC=C1,Bifemelane hydrochloride,43962,4-(2-Benzylphenoxy)-N-methylbutylamine hydrochloride,C18H23NO.HCl,[62232-46-6],305.84,Enzymes,Monoamine Oxidase,Inhibitor,Non-selective MAO inhibitor,2,CNCCCCOc1ccccc1Cc1ccccc1,215,1
778,ClC1=C(Cl)C=C(CC(N([C@@]([H])([C@]3=CC=CC=C3)CN2CCCC2)C)=O)C=C1.Cl,"ICI 199,441 hydrochloride",3082717,"2-(3,4-Dichlorophenyl)-N-methyl-N-[(1S)-1-phenyl-2-(1-pyrrolidinyl)ethyl]acetamide hydrochloride",C21H24Cl2N2O.HCl,[115199-84-3],427.8,7-TM Receptors,Kappa Opioid Receptors,Agonist,Potent ? agonist,2,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1,625,1
807,Cl.OC1=NOC2=C1CCNC2,THIP hydrochloride,5702253,"4,5,6,7-Tetrahydroisoxazolo[5,4-c]pyridin-3-ol hydrochloride",C6H8N2O2.HCl,[85118-33-8],176.6,Ion Channels,GABAA Receptors,Agonist,GABAA agonist,20,Oc1noc2c1CCNC2,1,1
880,O=C1ON=C2C=NC3=C(C=CC=C3)N12,ODQ,1456,"1H-[1,2,4]Oxadiazolo[4,3-a]quinoxalin-1-one",C9H5N3O2,[41443-28-1],187.16,Cell biology,Other Nitric Oxide,Inhibitor,Selective inhibitor of NO-sensitive guanylyl cyclase,6,O=c1onc2cnc3ccccc3n12,765,1
894,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,(RS)-(+/-)-Sulpiride,5355,(RS)-(�)-5-Aminosulfonyl-N-[(1-ethyl-2-pyrrolidinyl)methyl]-2-methoxybenzamide,C15H23N3O4S,[15676-16-1],341.42,7-TM Receptors,Non-selective Dopamine,Antagonist,Standard selective D2-like antagonist,3,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,335,1
895,NS(C1=CC(C(NC[C@]2([H])CCCN2CC)=O)=C(OC)C=C1)(=O)=O,(S)-(-)-Sulpiride,688272,(S)-(-)-5-Aminosulfonyl-N-[(1-ethyl-2-pyrrolidinyl)methyl]-2-methoxybenzamide,C15H23N3O4S,[23672-07-3],341.42,7-TM Receptors,Non-selective Dopamine,Antagonist,Standard selective D2-like antagonist,5,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,335,0
