wbps_gene_id,external_gene_id
ENSG00000134249,ADAM30
ENSG00000186364,NUDT17
ENSG00000143127,ITGA10
ENSG00000131791,PRKAB2
ENSG00000131778,CHD1L
ENSG00000265107,GJA5
ENSG00000121634,GJA8
ENSG00000203812,H2AC18
ENSG00000272196,H2AC19
ENSG00000184260,H2AC20
ENSG00000184270,H2AC21
ENSG00000159164,SV2A
ENSG00000118298,CA14
ENSG00000117362,APH1A
ENSG00000143384,MCL1
ENSG00000163131,CTSS
ENSG00000143387,CTSK
ENSG00000143379,SETDB1
ENSG00000143398,PIP5K1A
ENSG00000143393,PI4KB
ENSG00000143365,RORC
ENSG00000197747,S100A10
ENSG00000163191,S100A11
ENSG00000143536,CRNN
ENSG00000163220,S100A9
ENSG00000163221,S100A12
ENSG00000143546,S100A8
ENSG00000184330,S100A7A
ENSG00000143556,S100A7
ENSG00000197956,S100A6
ENSG00000196420,S100A5
ENSG00000196154,S100A4
ENSG00000188015,S100A3
ENSG00000196754,S100A2
ENSG00000188643,S100A16
ENSG00000189334,S100A14
ENSG00000189171,S100A13
ENSG00000160678,S100A1
ENSG00000169418,NPR1
ENSG00000160741,CRTC2
ENSG00000143578,CREB3L4
ENSG00000285641,AL358472.6
ENSG00000143545,RAB13
ENSG00000160712,IL6R
ENSG00000160716,CHRNB2
ENSG00000143603,KCNN3
ENSG00000143537,ADAM15
ENSG00000176444,CLK2
ENSG00000143630,HCN3
ENSG00000116539,ASH1L
ENSG00000143622,RIT1
ENSG00000173080,RXFP4
ENSG00000132698,RAB25
ENSG00000160781,PAQR6
ENSG00000189030,VHLL
ENSG00000116604,MEF2D
ENSG00000143320,CRABP2
ENSG00000198400,NTRK1
ENSG00000027644,INSRR
ENSG00000253831,ETV3L
ENSG00000117036,ETV3
ENSG00000073754,CD5L
ENSG00000279111,OR10X1
ENSG00000163554,SPTA1
ENSG00000085552,IGSF9
ENSG00000177807,KCNJ10
ENSG00000162728,KCNJ9
ENSG00000018625,ATP1A2
ENSG00000132681,ATP1A4
ENSG00000158773,USF1
ENSG00000143258,USP21
ENSG00000143224,PPOX
ENSG00000143257,NR1I3
ENSG00000173110,HSPA6
ENSG00000118217,ATF6
ENSG00000198574,SH2D1B
ENSG00000162733,DDR2
ENSG00000132196,HSD17B7
ENSG00000117152,RGS4
ENSG00000143248,RGS5
ENSG00000143171,RXRG
ENSG00000143149,ALDH9A1
ENSG00000143147,GPR161
