Well,Total.Motility,Worm.Area,Normalized.Motility
A01,2313900.800718941,938,2466.845203325097
A02,3592857.8219259405,898,4000.9552582694214
A03,4147950.411486838,1328,3123.4566351557514
A04,913984.6635546233,1451,629.8998370466046
A05,2232729.8277368653,1194,1869.9579796791165
A06,1887542.9016625085,996,1895.1233952434825
B01,1079740.1825797402,1521,709.8883514659699
B02,1059754.2440410755,2479,427.4926357567872
B03,1661117.1716285248,806,2060.9394188939514
B04,1699540.6100952493,1193,1424.593973256705
B05,1204280.2838325892,1404,857.7494899092516
B06,828794.6545493435,1610,514.7792885399649
C01,1357725.8351588768,530,2561.7468587903336
C02,982625.3271107958,1362,721.4576557347987
C03,671297.513888553,2253,297.95717438462185
C04,671500.5826323398,1486,451.88464510924615
C05,337107.02740549727,2223,151.64508655218052
C06,577303.5562273451,2358,244.8276319878478
D01,975673.6850654547,981,994.5705250412382
D02,1075538.8210472786,930,1156.4933559648157
D03,977491.1445459074,2159,452.7518038656357
D04,752031.0090732643,1593,472.0847514584208
D05,1093314.7647355383,1992,548.8527935419369
D06,1167462.3625048175,490,2382.5762500098317
