Well,Total.Motility,Worm.Area,Normalized.Motility
A01,633088.7990410997,2264,279.6328617672702
A02,1408291.7721574802,324,4346.579543695927
A03,1022230.0694728022,524,1950.8207432687066
A04,1622364.2581428627,624,2599.9427213827926
A05,644097.3885029773,1633,394.4258349681429
A06,313633.414417262,2489,126.00780008728887
B01,615107.5185326949,420,1464.5417107921307
B02,607689.2193269971,568,1069.8753861390794
B03,338501.71085981955,1317,257.02483740305206
B04,422735.83379049395,989,427.4376479175874
B05,356950.88058065926,169,2112.1353880512384
B06,261863.57534643268,38,6891.146719642966
C01,659453.4343346285,2201,299.61537225562404
C02,446937.60568742524,1874,238.49391979051506
C03,242204.42649331485,2096,115.55554699108534
C04,211904.640986402,1886,112.35664951558961
C05,268578.1400541059,1496,179.53084228215636
C06,423044.7331533274,1686,250.91621183471378
D01,1171950.4278856686,133,8811.657352523824
D03,417871.8431389016,732,570.863173687024
D04,619130.0453347315,133,4655.11312281753
D05,313207.34431152884,1711,183.05513986646923
D06,302481.5599521581,96,3150.84958283498
D2,595979.5428461834,1485,401.3330254856454
