Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,1860119.7767247036,1665,1117.189055089912
D0005,1258854.7724902718,1428,881.5509611276414
D0001,874142.0813266372,2334,374.525313336177
D0002,1189742.5369177887,2384,499.0530775661865
D0003,1260407.0625484032,1646,765.7394061654941
C0005,920429.8606312837,759,1212.687563414076
C0004,913782.1012707283,2069,441.65398804771786
B0001,759263.0632881607,1254,605.4729372313882
B0003,1115667.932672278,996,1120.1485267793955
B0002,855781.4246900413,2132,401.3984168339781
C0003,248434.46606787786,2081,119.38225183463616
C0002,671122.9019320088,2121,316.41815272607676
B0005,1827079.4341915436,1160,1575.0684777513306
C0001,1020651.9570500058,1583,644.7580271952027
B0004,2055378.6210961293,1235,1664.2741871223718
A0003,1363523.8511465946,854,1596.6321441997595
A0002,1957711.836427247,1274,1536.6654917011358
A0001,936757.476376759,530,1767.4669365599227
A0005,2821103.10973946,873,3231.504134867652
A0004,3212408.5930544063,487,6596.321546312949
