Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,662662.3336497983,1474,449.56739053581975
D0005,369832.90179329715,1130,327.285753799378
D0001,429583.2542582498,1615,265.9958230701237
D0002,296496.3822913176,1131,262.15418416562125
D0003,493102.31080977526,689,715.6782450069308
C0005,260184.7880152382,159,1636.3823145612466
C0004,573950.0223846057,1753,327.41016679099016
B0001,301546.97284723935,914,329.9201015834129
B0003,468864.67620315,752,623.4902609084442
B0002,808545.1801000021,951,850.2052366982147
C0003,317827.814289763,186,1708.7516897299085
C0002,281968.833145385,2486,113.4227003802836
B0005,582063.3421808099,1312,443.64584007683686
C0001,279112.83726587606,2585,107.97401828467159
B0004,919819.1922175159,1442,637.8773871133952
A0003,458461.11787799135,1278,358.7332690751106
A0002,777227.2011739966,705,1102.4499307432575
A0001,725672.2042598387,124,5852.195195643861
A0005,1114559.800648407,2314,481.65937798116124
A0004,594071.7027469189,1085,547.5315232690497
