Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,1705041.5239709655,1261,1352.1344361387514
A0002,2935825.0480560493,1517,1935.2834858642382
A0003,2670614.750408174,1794,1488.636984619941
A0004,2323652.029003743,446,5209.982127811083
A0005,4751121.29293663,1386,3427.937440791219
A0006,1424623.116575522,726,1962.29079418116
B0001,952365.8907844089,1909,498.8820800337396
B0002,1350331.8180190136,736,1834.6899701345294
B0003,1583828.750265536,2846,556.5104533610456
B0004,2453380.025716035,667,3678.2309231124964
B0005,2984092.6190890027,2205,1353.3299859814072
B0006,2569893.373563771,1155,2225.0159078474207
C0001,1472508.6103663244,570,2583.3484392391656
C0002,2009227.1432854766,1363,1474.1211616181047
C0003,795770.6255610762,334,2382.5467831169944
C0004,2038490.6930915848,1134,1797.6108404687698
C0006,2131804.516536601,972,2193.2145231858035
D0001,3721182.840270074,843,4414.214519893327
D0002,2515830.264504349,1207,2084.366416325061
D0003,2160512.753205197,1930,1119.4366596918119
D0004,2359250.875924595,1507,1565.5281193925648
D0006,2455364.3620639434,887,2768.167262755291
