Well,Total.Motility,Worm.Area,Normalized.Motility
A01,512652.7988861145,93,5512.395686947468
A02,517025.08103603957,162,3191.5128459014786
A03,890450.2758267563,1013,879.0229771241424
A04,367407.37945289,1389,264.5121522339021
A05,368432.08510696964,73,5047.014864479036
A06,881881.3780613814,158,5581.52770924925
B01,530736.1041836689,490,1083.1349064972833
B02,471312.6333929722,209,2255.0843703013024
B03,643038.551690762,1869,344.05486981849225
B04,257943.49427637493,1312,196.60327307650527
B05,696677.4204692473,1921,362.6639356945587
B06,2124232.278493248,695,3056.4493215730186
C01,523187.3126590464,135,3875.4615752521954
C02,278920.4742178015,54,5165.193966996324
C03,648780.5812154383,308,2106.4304584916827
C04,607562.0269595922,1539,394.77714552280196
C05,370243.3030120533,58,6383.505224345747
C06,1049941.0758479321,3036,345.8303938893057
D01,481529.46737607825,61,7893.925694689808
D02,661940.8515744805,181,3657.1317766545885
D03,981924.694608093,926,1060.3938386696468
D04,501526.8052050759,145,3458.8055531384543
D05,731744.5945536775,102,7173.966613271348
D06,1154604.054066162,241,4790.888191145901
