gene_id,gene_name,cat_no,uniprot,compound_name,target_class,primary_target,primary_action
ENSG00000134249,ADAM30,NA,NA,NA,NA,NA,NA
ENSG00000186364,NUDT17,NA,NA,NA,NA,NA,NA
ENSG00000143127,ITGA10,NA,NA,NA,NA,NA,NA
ENSG00000131791,PRKAB2,NA,NA,NA,NA,NA,NA
ENSG00000131778,CHD1L,NA,NA,NA,NA,NA,NA
ENSG00000265107,GJA5,NA,NA,NA,NA,NA,NA
ENSG00000121634,GJA8,6819,P48165,Mefloquine hydrochloride,Cell biology,Gap Channels,Blocker
ENSG00000203812,H2AC18,NA,NA,NA,NA,NA,NA
ENSG00000272196,H2AC19,NA,NA,NA,NA,NA,NA
ENSG00000184260,H2AC20,NA,NA,NA,NA,NA,NA
ENSG00000184270,H2AC21,NA,NA,NA,NA,NA,NA
ENSG00000159164,SV2A,2839,Q7L0J3,Levetiracetam,Cell biology,"Translocation, Exocytosis & Endocytosis",Other
ENSG00000118298,CA14,6742,Q9ULX7,Acetazolamide,Enzymes,Carbonic anhydrases,Inhibitor
ENSG00000117362,APH1A,2634,Q96BI3,DAPT,Cell biology,Neural Stem Cells,Other
ENSG00000117362,APH1A,2870,Q96BI3,BMS 299897,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000117362,APH1A,4489,Q96BI3,DBZ,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000117362,APH1A,6363,Q96BI3,Avagacestat,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000117362,APH1A,6559,Q96BI3,LY 450139,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000143384,MCL1,6539,Q07820,Obatoclax mesylate,Cell biology,Bcl-2 Family,Inhibitor
ENSG00000163131,CTSS,NA,NA,NA,NA,NA,NA
ENSG00000143387,CTSK,3066,P43235,L 006235,Enzymes,Cathepsin,Inhibitor
ENSG00000143387,CTSK,5585,P43235,Balicatib,Enzymes,Cathepsin,Inhibitor
ENSG00000143379,SETDB1,NA,NA,NA,NA,NA,NA
ENSG00000143398,PIP5K1A,NA,NA,NA,NA,NA,NA
ENSG00000143393,PI4KB,NA,NA,NA,NA,NA,NA
