UniProtKB,Entry_Name,Cluster
Q9H422,HIPK3_HUMAN,Kinase
Q9H2X6,HIPK2_HUMAN,Kinase
Q86Z02,HIPK1_HUMAN,Kinase
P49761,CLK3_HUMAN,Kinase
P49760,CLK2_HUMAN,Kinase
P49759,CLK1_HUMAN,Kinase
Q9HAZ1,CLK4_HUMAN,Kinase
Q13523,PRP4B_HUMAN,Kinase
Q9Y463,DYR1B_HUMAN,Kinase
Q13627,DYR1A_HUMAN,Kinase
Q8NE63,HIPK4_HUMAN,Kinase
Q9NR20,DYRK4_HUMAN,Kinase
O43781,DYRK3_HUMAN,Kinase
Q92630,DYRK2_HUMAN,Kinase
Q9NYV4,CDK12_HUMAN,Kinase
Q14004,CDK13_HUMAN,Kinase
P21127,CD11B_HUMAN,Kinase
Q9UQ88,CD11A_HUMAN,Kinase
Q16659,MK06_HUMAN,Kinase
P31152,MK04_HUMAN,Kinase
P45984,MK09_HUMAN,Kinase
P45983,MK08_HUMAN,Kinase
P53779,MK10_HUMAN,Kinase
Q13164,MK07_HUMAN,Kinase
Q15759,MK11_HUMAN,Kinase
Q16539,MK14_HUMAN,Kinase
P53778,MK12_HUMAN,Kinase
O15264,MK13_HUMAN,Kinase
P27361,MK03_HUMAN,Kinase
P28482,MK01_HUMAN,Kinase
Q9UBE8,NLK_HUMAN,Kinase
Q8TD08,MK15_HUMAN,Kinase
P19784,CSK22_HUMAN,Kinase
Q8NEV1,CSK23_HUMAN,Kinase
P68400,CSK21_HUMAN,Kinase
O76039,CDKL5_HUMAN,Kinase
Q07002,CDK18_HUMAN,Kinase
Q00537,CDK17_HUMAN,Kinase
Q00536,CDK16_HUMAN,Kinase
P49336,CDK8_HUMAN,Kinase
Q9BWU1,CDK19_HUMAN,Kinase
P20794,MAK_HUMAN,Kinase
Q9UPZ9,CILK1_HUMAN,Kinase
P49840,GSK3A_HUMAN,Kinase
P49841,GSK3B_HUMAN,Kinase
Q8IVW4,CDKL3_HUMAN,Kinase
Q92772,CDKL2_HUMAN,Kinase
Q00532,CDKL1_HUMAN,Kinase
Q5MAI5,CDKL4_HUMAN,Kinase
Q9UQ07,MOK_HUMAN,Kinase
P11802,CDK4_HUMAN,Kinase
