Entry	Entry name	Protein names	Gene names
Q9UKF2	ADA30_HUMAN	Disintegrin and metalloproteinase domain-containing protein 30 (ADAM 30) (EC 3.4.24.-)	ADAM30 UNQ2509/PRO5997
P0C025	NUD17_HUMAN	Nucleoside diphosphate-linked moiety X motif 17 (Nudix motif 17) (EC 3.6.1.-)	NUDT17
O75578	ITA10_HUMAN	Integrin alpha-10	ITGA10 UNQ468/PRO827
O43741	AAKB2_HUMAN	5'-AMP-activated protein kinase subunit beta-2 (AMPK subunit beta-2)	PRKAB2
Q86WJ1	CHD1L_HUMAN	Chromodomain-helicase-DNA-binding protein 1-like (EC 3.6.4.12) (Amplified in liver cancer protein 1)	CHD1L ALC1
P36382	CXA5_HUMAN	Gap junction alpha-5 protein (Connexin-40) (Cx40)	GJA5
P48165	CXA8_HUMAN	Gap junction alpha-8 protein (Connexin-50) (Cx50) (Lens fiber protein MP70)	GJA8
Q6FI13	H2A2A_HUMAN	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4
Q16777	H2A2C_HUMAN	Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q)	H2AC20 H2AFQ HIST2H2AC
Q8IUE6	H2A2B_HUMAN	Histone H2A type 2-B (H2A-clustered histone 21)	H2AC21 HIST2H2AB
Q7L0J3	SV2A_HUMAN	Synaptic vesicle glycoprotein 2A	SV2A KIAA0736 PSEC0174
Q9ULX7	CAH14_HUMAN	Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV)	CA14 UNQ690/PRO1335
Q96BI3	APH1A_HUMAN	Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha) (Presenilin-stabilization factor)	APH1A PSF CGI-78 UNQ579/PRO1141
Q07820	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3
P25774	CATS_HUMAN	Cathepsin S (EC 3.4.22.27)	CTSS
Q15047	SETB1_HUMAN	Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.366) (ERG-associated protein with SET domain) (ESET) (Histone H3-K9 methyltransferase 4) (H3-K9-HMTase 4) (Lysine N-methyltransferase 1E) (SET domain bifurcated 1)	SETDB1 ESET KIAA0067 KMT1E
