Ensembl_Protein,Entry,Entry name
ENSP00000000233,P84085,ARF5_HUMAN
ENSP00000003084,P13569,CFTR_HUMAN
ENSP00000003302,Q96RU2,UBP28_HUMAN
ENSP00000005178,Q16654,PDK4_HUMAN
ENSP00000005257,P11233,RALA_HUMAN
ENSP00000012443,P53041,PPP5_HUMAN
ENSP00000013125,Q9Y4K4,M4K5_HUMAN
ENSP00000078445,Q68CJ9,CR3L3_HUMAN
ENSP00000155840,P51787,KCNQ1_HUMAN
ENSP00000155858,Q9NZQ8,TRPM5_HUMAN
ENSP00000158762,Q15027,ACAP1_HUMAN
ENSP00000159060,Q9HBY0,NOX3_HUMAN
ENSP00000160382,O94805,ACL6B_HUMAN
ENSP00000164139,P11217,PYGM_HUMAN
ENSP00000166244,P29322,EPHA8_HUMAN
ENSP00000168216,Q99714,HCD2_HUMAN
ENSP00000175238,Q9H2U9,ADAM7_HUMAN
ENSP00000194530,Q9C0K7,STRAB_HUMAN
ENSP00000199936,P37059,DHB2_HUMAN
ENSP00000200557,O75078,ADA11_HUMAN
ENSP00000200652,Q9H015,S22A4_HUMAN
ENSP00000201979,O75628,REM1_HUMAN
ENSP00000215659,P53778,MK12_HUMAN
ENSP00000215727,P05546,HEP2_HUMAN
ENSP00000215743,P24347,MMP11_HUMAN
ENSP00000215794,Q9UMW8,UBP18_HUMAN
ENSP00000215832,P28482,MK01_HUMAN
ENSP00000216101,Q92737,RSLAA_HUMAN
ENSP00000216144,Q86V35,CABP7_HUMAN
ENSP00000216274,Q9Y572,RIPK3_HUMAN
ENSP00000216392,P06737,PYGL_HUMAN
ENSP00000216911,O14965,AURKA_HUMAN
ENSP00000216962,P11216,PYGB_HUMAN
ENSP00000217270,Q8NFJ6,PKR2_HUMAN
ENSP00000218176,Q9NSA2,KCND1_HUMAN
ENSP00000218316,Q13585,MTR1L_HUMAN
ENSP00000219271,P51511,MMP15_HUMAN
ENSP00000219406,Q13087,PDIA2_HUMAN
ENSP00000219689,Q70CQ4,UBP31_HUMAN
ENSP00000219833,P23975,SC6A2_HUMAN
ENSP00000220507,Q96L33,RHOV_HUMAN
ENSP00000220751,O43353,RIPK2_HUMAN
ENSP00000220772,Q8N474,SFRP1_HUMAN
ENSP00000221138,P62714,PP2AB_HUMAN
ENSP00000221444,Q96RP8,KCNA7_HUMAN
ENSP00000221930,A0A499FJK2,A0A499FJK2_HUMAN
ENSP00000222330,P49840,GSK3A_HUMAN
ENSP00000222800,Q8NFV4,ABHDB_HUMAN
ENSP00000223023,O00401,WASL_HUMAN
ENSP00000223095,P05121,PAI1_HUMAN
ENSP00000223366,P35557,HXK4_HUMAN
ENSP00000225823,Q16515,ASIC2_HUMAN
